Id,year,month,day,precip,tmax,tmin,basin_cfs,runoff (same in datafile),delta_e
330,2003,8,26,0,82.4,59.5,2.003122,4.9,2.896878
331,2003,8,27,0,81.2,53.3,1.93722,4.9,2.96278
332,2003,8,28,0,77.8,59,1.881094,4.8,2.918906
333,2003,8,29,0,84.6,60.2,1.832506,4.7,2.867494
334,2003,8,30,0.07,77.2,47.1,2.347867,4.8,2.452133
335,2003,8,31,0,81.4,45.9,1.751638,4.7,2.948362
336,2003,9,1,0.05,80.2,52.6,2.653498,4.8,2.146502
337,2003,9,2,0.25,75.6,50.6,6.622447,5.4,-1.222447
338,2003,9,3,0.04,77.6,53.3,3.246914,5.3,2.053086
339,2003,9,4,0,80.3,57.9,1.894015,5.3,3.405985
340,2003,9,5,0,76.3,55.3,1.823309,5.4,3.576691
341,2003,9,6,0.31,78.1,49.2,9.907501,5.2,-4.707501
342,2003,9,7,0,73.6,52.2,2.352283,4.9,2.547717
343,2003,9,8,0,79,59.2,2.266644,4.9,2.633356
344,2003,9,9,0,74.7,49.6,2.148431,5,2.851569
345,2003,9,10,0,67,42.6,2.06995,5,2.93005
346,2003,9,11,0,61.6,38.5,2.016172,4.9,2.883828
347,2003,9,12,0,69,45.8,1.966797,4.8,2.833203
348,2003,9,13,0,77.5,39.7,1.915024,4.8,2.884976
349,2003,9,14,0,61.5,36.6,1.854006,4.6,2.745994
350,2003,9,15,0,71.3,37.9,1.823048,4.3,2.476952
351,2003,9,16,0,78.5,53.8,1.781522,4.2,2.418478
352,2003,9,17,0,77.7,43.5,1.721572,4.2,2.478428
353,2003,9,18,0,60.8,31.8,1.679301,4.2,2.520699
354,2003,9,19,0,62.7,36.1,1.659503,4.3,2.640497
355,2003,9,20,0,71.3,43.3,1.631983,4.3,2.668017
356,2003,9,21,0,73,44.7,1.594007,4.1,2.505993
357,2003,9,22,0,75,47.1,1.561493,3.9,2.338507
358,2003,9,23,0,78.6,51.9,1.527274,3.7,2.172726
359,2003,9,24,0,81.2,51.4,1.488401,3.6,2.111599
360,2003,9,25,0,80.8,50.7,1.449229,3.5,2.050771
361,2003,9,26,0,80,50.9,1.413927,3.5,2.086073
362,2003,9,27,0,80.6,52.8,1.379968,3.3,1.920032
363,2003,9,28,0,80.9,53.4,1.346774,3.2,1.853226
364,2003,9,29,0,83,54.2,1.315717,3.1,1.784283
365,2003,9,30,0,81.5,55.6,1.286814,3.1,1.813186
366,2003,10,1,0,80.7,56.9,1.260282,3.1,1.839718
367,2003,10,2,0,78.9,47.8,1.231185,3.1,1.868815
368,2003,10,3,0.04,69.7,44.7,1.534603,3.1,1.565397
369,2003,10,4,0,67.2,43.7,1.199955,3,1.800045
370,2003,10,5,0,67.1,46.7,1.181064,2.8,1.618936
371,2003,10,6,0,72.1,49.3,1.163416,2.8,1.636584
372,2003,10,7,0,71.4,49.6,1.145372,2.7,1.554628
373,2003,10,8,0,71.6,49.1,1.130243,2.6,1.469757
374,2003,10,9,0,78.7,51,1.116632,2.6,1.483368
375,2003,10,10,0,77.2,47.5,1.102389,2.6,1.497611
376,2003,10,11,0,60.7,28.2,1.091734,2.6,1.508266
377,2003,10,12,0,62.9,34.4,1.082796,2.6,1.517204
378,2003,10,13,0,73.1,34.1,1.075888,2.5,1.424112
379,2003,10,14,0,57,33.1,1.069044,2.5,1.430956
